"id","addtime","title","imgurl","address","avgprice","jianmian","housetype","opendate","tagname","totalprice","properright","detailurl"
"31","2025-04-02 00:40:23","万科·理想花地·傲璟","https://image1.ljcdn.com/newhouse-user-image/8ddbdfce76ea788382f5f4add1750f04.jpg","荔湾区芳村花地大道309号花地湾生活馆","50000","74-143㎡","住宅","2025-03-16","人车分流，国央企，品牌房企，近地铁",\N,"70年","https://gz.fang.lianjia.com/loupan/p_wklxhdajbnwbo/"
"32","2025-04-02 00:40:23","星河臻华府","https://image1.ljcdn.com/newhouse-user-image/3a8400fae8d2f86313aaa6984c283e1f.jpg","广州市黄埔区科学城开创大道与开源大道交汇处","27000","85-125㎡","住宅","2025-03-21","低单价，低总价，车位充足，人车分流",\N,"70年","https://gz.fang.lianjia.com/loupan/p_xhzhfbnvqq/"
"33","2025-04-02 00:40:23","保利领秀海","https://image1.ljcdn.com/newhouse-user-image/eb7b75f277468b86b03ba001473a2fa3.png","广州市番禺区石楼镇滨安路88号","20000","63-170㎡","住宅","","特价好房，低单价，绿化率高，人车分流",\N,"70年","https://gz.fang.lianjia.com/loupan/p_bllxhbmqlu/"
"34","2025-04-02 00:40:23","中建海丝城","https://image1.ljcdn.com/newhouse-user-image/e8d5f9da3c6295a8f15f4a219d40e567.png","海丝会客厅（广州市黄埔区黄埔东路1568号）","34000","78-117㎡","住宅","2024-08-30","绿化率高，人车分流，国央企，品牌房企",\N,"70年","https://gz.fang.lianjia.com/loupan/p_zjhscbnqgz/"
"35","2025-04-02 00:40:23","越秀大学星汇锦城","https://image1.ljcdn.com/newhouse-user-image/d6db635b97c730ef5587b587f867a37c.jpg","越秀大学星汇锦城营销中心","30000","70-126㎡","住宅","2024-08-09","低单价，低总价，绿化率高，人车分流",\N,"70年","https://gz.fang.lianjia.com/loupan/p_yxdxxhjcbnbsj/"
"36","2025-04-02 00:40:23","保利燕语堂悦","https://image1.ljcdn.com/newhouse-user-image/61a38f3c4b066a4e6710c80e18006d65.jpg","广州市海珠区工业大道中313号","61000","78-125㎡","住宅","2024-12-24","车位充足，绿化率高，国央企，品牌房企",\N,"70年","https://gz.fang.lianjia.com/loupan/p_blyytybnniq/"
"37","2025-04-02 00:40:23","景业东湖洲豪园","https://image1.ljcdn.com/hdic-resblock/d634a2c1-06e4-458b-91e9-840a0569d8f4.jpg","环市大道南横D口西侧200米处","26000","95-121㎡","住宅","2019-05-99","车位充足，低密居所，置换改善，养老舒适",\N,"70年","https://gz.fang.lianjia.com/loupan/p_jydhzhyafsnv/"
"38","2025-04-02 00:40:23","南沙珠江湾","https://image1.ljcdn.com/hdic-resblock/d47ad6a5-5901-4cfa-abc6-08a2797412f3.jpg","漾滨路和海滨路交汇处","30000","","商业","2018-10-01","人车分流，大型社区，品牌房企，贴心物业","318","40年","https://gz.fang.lianjia.com/loupan/p_nszjwaftii/"
"39","2025-04-02 00:40:23","碧桂园云顶","https://image1.ljcdn.com/newhouse-user-image/296dc981c6000c8a1328cb256dc044a5.jpg","广东省广州市增城区广惠高速路口西侧50米","14000","90-205㎡","住宅","2020-10-28","车位充足，人车分流，品牌房企，水系园林",\N,"70年","https://gz.fang.lianjia.com/loupan/p_bgyydaftiw/"
"40","2025-04-02 00:40:23","新世界凯粤湾","https://image1.ljcdn.com/newhouse-user-image/f8a30267bca0e0a40615f81cf0e1697e.jpg","逸彩路29号","43000","95-133㎡","住宅","2024-01-99","绿化率高，人车分流，品牌房企，入户花园",\N,"70年","https://gz.fang.lianjia.com/loupan/p_xsjkywaatyj/"
"41","2025-04-02 00:40:23","东方名都","https://image1.ljcdn.com/hdic-resblock/32e37a24-1207-4987-a183-50c64a3191cf.jpg","东江大道北8号","19000","40-142㎡","住宅","2020-09-26","绿化率高，人车分流，入户花园，健身跑道",\N,"70年","https://gz.fang.lianjia.com/loupan/p_dfmdaauaj/"
"42","2025-04-02 00:40:23","广州敏捷绿湖首府","https://image1.ljcdn.com/hdic-resblock/17296a4a-3df3-4361-ad5e-56c3cd230469.jpg","石滩镇新城大道石滩中学北侧400米","8500","71-123㎡","住宅","2020-12-19","低单价，低总价，车位充足，人车分流",\N,"70年","https://gz.fang.lianjia.com/loupan/p_lhgjcaaudr/"
"43","2025-04-02 00:40:23","顺欣花园","https://image1.ljcdn.com/hdic-resblock/f9d76a6e-a699-49b1-9a3d-006d896e5045.jpg","增城新塘镇广园东荔新出口300米处","14800","80-138㎡","住宅","2019-06-07","人车分流，大型社区，儿童乐园，地铁沿线",\N,"70年","https://gz.fang.lianjia.com/loupan/p_sxhyaaudz/"
"44","2025-04-02 00:40:23","新鸿基御华园","https://image1.ljcdn.com/hdic-resblock/173e0b46-f9e8-42ba-ba6b-45bfce8bb422.jpg","广东省广州市花都区珠三角环线高速g94芙蓉嶂","15000","67-119㎡","住宅","2024-07-04","低单价，低总价，人车分流，大型社区",\N,"70年","https://gz.fang.lianjia.com/loupan/p_xhjyhyaauei/"
